pid, cid, month, year, amountMNOK, amountMUSD, kBarrels,
1,ES,7,2017,253.00,30.97,649.91,
1,ES,8,2014,395.00,63.67,636.37,
1,ES,8,2015,0.00,0.00,0.00,
1,ES,8,2016,295.00,35.49,790.70,
1,ES,8,2017,1376.00,174.31,3490.38,
1,ES,9,2014,1397.00,220.38,2299.24,
1,ES,9,2015,249.00,30.07,649.79,
1,ES,9,2016,0.00,0.00,0.00,
1,ES,9,2017,0.00,0.00,0.00,
1,ES,10,2014,1026.00,156.81,1821.66,
1,ES,10,2015,245.00,29.62,630.78,
1,ES,10,2016,0.00,0.00,0.00,
1,ES,10,2017,462.00,57.79,1052.32,
1,ES,11,2014,0.00,0.00,0.00,
1,ES,11,2015,0.00,0.00,0.00,
1,ES,11,2016,0.00,0.00,0.00,
1,ES,11,2017,815.00,99.56,1661.28,
1,ES,12,2014,0.00,0.00,0.00,
1,ES,12,2015,0.00,0.00,0.00,
1,ES,12,2016,1054.00,123.16,2340.55,
1,ES,12,2017,895.00,107.47,1756.31,
1,FI,1,2015,310.00,40.32,855.81,
1,FI,1,2016,162.00,18.32,615.09,
1,FI,1,2017,393.00,46.34,864.69,
1,FI,2,2015,655.00,86.30,1575.06,
1,FI,2,2016,442.00,51.35,1654.77,
1,FI,2,2017,761.00,91.38,1681.30,
1,FI,3,2015,0.00,0.00,0.00,
1,FI,3,2016,0.00,0.00,0.00,
1,FI,3,2017,0.00,0.00,0.00,
1,FI,4,2015,0.00,0.00,0.00,
1,FI,4,2016,0.00,0.00,0.00,
1,FI,4,2017,926.00,107.84,2067.44,
1,FI,5,2015,0.00,0.00,0.00,
1,FI,5,2016,259.00,31.44,684.36,
1,FI,5,2017,372.00,43.65,874.86,
1,FI,6,2015,0.00,0.00,0.00,
1,FI,6,2016,341.00,41.02,860.04,
1,FI,6,2017,551.00,65.11,1410.32,
1,FI,7,2015,0.00,0.00,0.00,
1,FI,7,2016,241.00,28.45,644.61,
1,FI,7,2017,0.00,0.00,0.00,
1,FI,8,2014,538.00,86.72,866.75,
1,FI,8,2015,0.00,0.00,0.00,
1,FI,8,2016,0.00,0.00,0.00,
1,FI,8,2017,0.00,0.00,0.00,
1,FI,9,2014,544.00,85.82,895.34,
1,FI,9,2015,0.00,0.00,0.00,
1,FI,9,2016,0.00,0.00,0.00,
1,FI,9,2017,622.00,79.43,1500.06,
1,FI,10,2014,489.00,74.74,868.22,
1,FI,10,2015,364.00,44.01,937.16,
1,FI,10,2016,846.00,103.63,2102.37,
1,FI,10,2017,365.00,45.66,831.38,
1,FI,11,2014,1717.00,252.20,3275.79,
1,FI,11,2015,0.00,0.00,0.00,
1,FI,11,2016,259.00,30.81,680.68,
1,FI,11,2017,816.00,99.68,1663.31,
1,FI,12,2014,0.00,0.00,0.00,
1,FI,12,2015,522.00,60.03,1641.63,
1,FI,12,2016,0.00,0.00,0.00,
1,FI,12,2017,849.00,101.95,1666.04,
1,FR,1,2015,305.00,39.67,842.01,
1,FR,1,2016,497.00,56.20,1887.05,
1,FR,1,2017,980.00,115.55,2156.23,
1,FR,2,2015,575.00,75.76,1382.69,
1,FR,2,2016,719.00,83.53,2691.81,
1,FR,2,2017,295.00,35.42,651.75,
1,FR,3,2015,401.00,50.22,950.58,
1,FR,3,2016,479.00,56.39,1510.25,
1,FR,3,2017,562.00,66.13,1299.12,
1,FR,4,2015,0.00,0.00,0.00,
1,FR,4,2016,804.00,97.69,2397.33,
1,FR,4,2017,267.00,31.09,596.12,
1,FR,5,2015,302.00,39.98,639.56,
1,FR,5,2016,881.00,106.94,2327.89,
1,FR,5,2017,897.00,105.24,2109.53,
1,FR,6,2015,0.00,0.00,0.00,
1,FR,6,2016,349.00,41.98,880.21,
1,FR,6,2017,660.00,78.00,1689.32,
1,FR,7,2015,281.00,34.61,636.84,
1,FR,7,2016,758.00,89.47,2027.45,
1,FR,7,2017,831.00,101.74,2134.67,
1,FR,8,2014,359.00,57.87,578.37,
1,FR,8,2015,531.00,64.36,1408.70,
1,FR,8,2016,1139.00,137.01,3052.90,
1,FR,8,2017,1223.00,154.93,3102.28,
1,FR,9,2014,0.00,0.00,0.00,
1,FR,9,2015,258.00,31.16,673.28,
1,FR,9,2016,1240.00,150.98,3352.13,
1,FR,9,2017,649.00,82.88,1565.17,
1,FR,10,2014,861.00,131.59,1528.71,
1,FR,10,2015,597.00,72.18,1537.05,
1,FR,10,2016,1425.00,174.55,3541.22,
1,FR,10,2017,1299.00,162.50,2958.79,
1,FR,11,2014,0.00,0.00,0.00,
1,FR,11,2015,30.00,3.47,80.59,
1,FR,11,2016,1119.00,133.10,2940.86,
1,FR,11,2017,785.00,95.90,1600.12,
1,FR,12,2014,298.00,41.02,675.76,
1,FR,12,2015,495.00,56.93,1556.72,
1,FR,12,2016,904.00,105.63,2007.45,
1,FR,12,2017,1466.00,176.03,2876.82,
1,GB,1,2015,5473.00,711.80,15109.24,
1,GB,1,2016,4363.00,493.33,16565.78,
1,GB,1,2017,9661.00,1139.13,21256.48,
1,GB,2,2015,5743.00,756.65,13810.07,
1,GB,2,2016,4818.00,559.71,18037.77,
1,GB,2,2017,8291.00,995.56,18317.52,
1,GB,3,2015,8452.00,1058.48,20035.67,
1,GB,3,2016,5951.00,700.61,18763.05,
1,GB,3,2017,8685.00,1021.88,20076.32,
1,GB,4,2015,7243.00,917.07,15937.91,
1,GB,4,2016,6960.00,845.69,20753.04,
1,GB,4,2017,8922.00,1039.01,19919.72,
1,GB,5,2015,7540.00,998.15,15967.79,
1,GB,5,2016,7036.00,854.09,18591.44,
1,GB,5,2017,7011.00,822.60,16488.23,
1,GB,6,2015,6149.00,787.93,12851.56,
1,GB,6,2016,4211.00,506.50,10620.57,
1,GB,6,2017,7088.00,837.63,18142.24,
1,GB,7,2015,5711.00,703.33,12943.05,
1,GB,7,2016,6252.00,737.96,16722.42,
1,GB,7,2017,7386.00,904.26,18973.15,
1,GB,8,2014,8267.00,1332.53,13318.61,
1,GB,8,2015,6154.00,745.94,16326.10,
1,GB,8,2016,7003.00,842.42,18770.40,
1,GB,8,2017,6879.00,871.42,17449.37,
1,GB,9,2014,11255.00,1775.52,18523.91,
1,GB,9,2015,5752.00,694.69,15010.50,
1,GB,9,2016,6062.00,738.10,16387.61,
1,GB,9,2017,6541.00,835.27,15774.69,
1,GB,10,2014,9861.00,1507.11,17508.21,
1,GB,10,2015,8604.00,1040.26,22152.07,
1,GB,10,2016,7744.00,948.55,19244.36,
1,GB,10,2017,7309.00,914.31,16648.05,
1,GB,11,2014,9234.00,1356.35,17617.16,
1,GB,11,2015,7112.00,823.62,19105.19,
1,GB,11,2016,7940.00,944.45,20867.23,
1,GB,11,2017,8075.00,986.44,16459.87,
1,GB,12,2014,8754.00,1204.96,19850.99,
1,GB,12,2015,4261.00,490.05,13400.38,
1,GB,12,2016,8158.00,953.26,18115.93,
1,GB,12,2017,7146.00,858.07,14023.03,
1,IE,1,2015,588.00,76.47,1623.28,
1,IE,1,2016,195.00,22.05,740.39,
1,IE,1,2017,848.00,99.99,1865.80,
1,IE,2,2015,572.00,75.36,1375.48,
1,IE,2,2016,578.00,67.15,2163.93,
1,IE,2,2017,583.00,70.00,1288.04,
1,IE,3,2015,852.00,106.70,2019.69,
1,IE,3,2016,213.00,25.08,671.57,
